,SAS Contact,TA,Last Update, Interview Target,Investigate,Entity Name,Stakeholder Category,Stakeholder Group,Development Stage,Product Group,Products 1,Products 2,Products 3,Products 4,Products 5,Stakeholder Description,Stakeholder Public/Private,ID (Ticker or D&B ID),NAICS,Website,Headquarters City,Headquarters State,Headquarters Country,Phone Number,Email,Stakeholder Contact,Principal (CEO),Year Founded,Number of Employees,Parent Company,On Market,Product Name,SKU/ID,Notes,Product Category (OLD),Product Group (OLD)
,,,8/8/22,,,EnviroTextiles,Processing & Manufacturing,Product Manufacturers,Manufacturer,Primary (line),Fabric,,,,,"EnviroTextiles is an industry leader in the effort to improve Corporate Social Responsibility and Transparency in manufacturing, processing and labeling. We personally manage each of our production facilities across the globe, while providing these communities with jobs, infrastructure, and community support.",private,,"424,314,243",(https://www.envirotextiles.com/),Glenwood Springs,CO,US,970-945-5986,info@envirotextiles.com,,Barbara Filippone,2002,<25,,,,,,Fabric,Primary (line)
,,,8/8/22,,,Fletcher Farms Hemp Company,Processing & Manufacturing,Retail,Products,Essential Compounds,,,,,,"Fletcher Farms is a Family-Owned Hemp Farm in Vale, Oregon.",private,,,(https://fletcherfarmshemp.com/),Vale,OR,US,503-882-0846,info@fletcherfarms.com,,Tom Fletcher,1972,11-50,,,,,,,Essential Compounds
,,,8/8/22,,,Fusion Mineral Paint,Processing & Manufacturing,Retail,Products,Oil,Paint,,,,,"Homestead House Paint Co., launched in 1989 to replicate beautiful old world finishes – it’s still in operation today.",private,,"4,444,412",https://fusionmineralpaint.com/,Newport,KY,US,,application@fusionmineralpaint.com,,Jennylyn Pringle,1989,<25,,,,,Wood Finish,Paint,Oil
,,,8/8/22,,,GlobalCBD,Distribution,Retail,Products,Oil,Adhesive,,,,,Global CBD CBD OIL and Extracts originate from organically grown agriculture hemp provided through a state piloted program.,private,,"45,453",https://globalcbd.com/,,IA,US,208-340-9414,info@globalcbd.com,,Joel Bordeaux,,26,,,,,,Adhensive,Oil
,,,8/8/22,,,Go Green Hemp,Processing & Manufacturing,Retail,Products,Extracting,Pharmaceutical,,,,,GoGreen Hemp has been providing quality CBD hemp products to consumers since 2016.,private,,"44,45",https://www.gogreenhemp.com/,Plantation,FL,US,1 (954) 533 0089,info@gogreenhemp.com,,Romas Marcinkevicius,2016,11-50,,,,,,Pharmaceutical,Extracting
,,,8/8/22,,,Heartland,Farming & Allied Services,Farm service suppliers,Seed,Essential Compounds,Compost,,,,,"Heartland’s values are grounded in education, innovation , and collaboration that drives sustainable outcomes.",private,,"11,112",(https://www.heartland.io/),Detroit,MI,US,313-649-784,hello@heartland.io,,Jesse Henry,2017,<25,,,,,,,
,,,8/8/22,,,Hemp Battery Direct,Processing & Manufacturing,Equipment suppliers,Handling/Processing,Primary (line),Graphene Battery,,,,,Hemp Rechargeable Batteries – A New Breakthrough in the Tech World Research has shown Hemp Batteries Are More Powerful Than Lithium And Graphene,private,,,(https://www.hempbatterydirect.com/),Pocatello,ID,US,,,,Bruce Perlowin ,2015,,,,,,,Graphene Battery,Primary (line)
,,,8/8/22,,,Hemp Craft,Distribution,Retail,Products,Tow,Cordage,,,,,"Hemp craft and jewelry supply! We have everything you need to make your own beautiful and unique hemp craft project such as hemp jewelry, macrame, and string art.",private,,"45,451,120",(http://www.myhempcraft.com/),Eddyville,OR,US,,myhempcraft@gmail.com,,,2010,,,,,,,Cordage,Tow
,,,8/8/22,,,Hemp Inc.,Processing & Manufacturing,Materials processors,Products,Secondary,Fiber board,,,,,"Industrial Hemp Manufacturing, LLC (IHM) is a global company that produces quality natural fiber and other cellulose based products for major growth markets.",public,OTC: HEMP,"31311,11",(https://hempinc.com/),Las Vegas,NV,US,855-436-7688,IR@hempinc.com,,Bruce Perlowin,2008,300,,,,,,,
,,,8/9/22,,,Hemp Northwest,Distribution,Wholesale,Products,Cake,Food,,,,,"Hemp Northwest is an Oregon Hemp Seed Food and Ingredient Processor, Manufacturer and Distributor working collaboratively with NW farmers, OSU Global Hemp Innovation Center, The Hemp Feed Coalition and other hemp seed processors and producers across the USA to build and support an all-American supply chain of growing hemp seed grain and producing high quality hemp seed food products for humans and animals.",,,,(https://hempnorthwest.com/),Hoodriver,OR,US,541-490-9621,,,Tonia Farman,2017,<25,,,,,,Food,Cake
,,,8/11/22,,Y,Hemp Traders,NA,,,Primary (line),Fabric,,,,,,,,,(https://www.hemptraders.com),Paramount,CA,,562-630-334,contact@hemptraders.com,,,1994,,,,,,,Fabric,Primary (line)
,Jonathan Leong,,8/11/22,,,Hemp Wood,Distribution,Retail,Products,Bast Fiber,Paneling,,,,,"Widely considered to be the premier wood substitute with the smallest ecological footprint of any lumber alternative, HempWood® is perfect for use as anything that wood can be used for, like construction materials, flooring, and furniture.",private,,"32,321",(https://hempwood.com),Murray,KY,US,888-338-1235,sales@hempwood.com,,Greg Wilson ,2019,<25,,,,,,Panel,Bast Fiber
,,,8/11/22,,,Hempalaya,Processing & Manufacturing,Retail,Products,Primary (line),Fabric,,,,,Hempalaya products consist mainly of wild Himalaya hemp and natural raw materials from Nepal.,private,,325411,https://hempalaya.com/,Vienna,,Austria,43-1-9557287,Contact@Hempalaya.Com,,N/A,,,,,,,,Fabric,Primary (line)
,,,8/11/22,,,Hempbasics,Processing & Manufacturing,Retail,Products,Bast Fiber,Cordage,,,,,Hemp Basics is one of the oldest and largest manufacturers and distributors of the finest natural hemp products available on line.,private,,"42,431,424",https://hempbasics.com/,Warren,NJ,US,888-831-3747,https://www.hempbasics.com/shop/Contact,,Ah Warner,1991,31,,,,,,Cordage,Bast Fiber
,,,8/11/22,,,HempBlockUSA,Processing & Manufacturing,Product Manufacturers,Products,Bast Fiber,Insulation,,,,,"Hemp Block Australia (HBA) provides the superior building solution for residential, government and commercial building projects.",private,,"33,23",https://hempblockusa.com/,Queensland,,AUSTRALIA,(855) 795-0012,https://hempblockaustralia.com/,,Johan Tijssen and Glen Donoghoe,,,,,,,,Insulation,Bast Fiber
,Jonathan Leong,,8/11/22,,,Hempitecture Inc.,Processing & Manufacturing,Product Manufacturers,Agricultural Production,Primary (line),Insulation,,,,,Hempitecture is the leading US manufacturer and distributor of green building materials for construction including HempWool thermal insulation,private ,,"425,142,511",(https://www.hempitecture.com/),Ketchum,ID,US,,sales@hempitecture.com,,Mattie Mead,,<25,,,,,,Insulation,Primary (line)
,,,8/11/22,,,Hempmania,Distribution,Retail,Products,Primary (line),Fabric,,,,,Hempmania offers a full line of stylish 100% HEMP bags and accessories that are not only eco-friendly but also beautiful,private,,"3,169,316",(https://www.hempmania.com/),,WA,US,206-855-9620,info@hempmania.com,,Steve Black,1997,<25,,,,,,Fabric,Primary (line)
,,,8/11/22,,,Hempowerful,Distribution,Retail,Products,Hurds,Absorbent bedding,,,,,"Providing you with high quality, natural, hemp products.",private,,"314,993,149",https://hempowerful.com/,,,N/A,,,,N/A,,,,,,,,Absorbent bedding,Hurds
,,,8/11/22,,,HempSolutionOregon,Farming & Allied Services,Plant breeders and seed companies,Seed,Hurds,Absorbent bedding,,,,,"We feature AgroBedding, Hempcrete & Grass Roots Grow Mats. We look forward to supplying you with solutions to help create a healthier world! Thank you for your business!",private,,"9,292,614",https://hempsolutionsoregon.org/,Damascus,OR,US,5035584988,sales@hempsolutionsoregon.org,,Gabe Campisi,,,,,,,,Absorbent bedding,Hurds
,,,8/11/22,,,Hemptopia,Distribution,Retail,Products,Tow,Cordage,,,,,"Hemptopia is your source for high quality hemp products designed around function, comfort and sustainability.",private,,"424,314,243",(https://www.hemptopia.com/hemp-products/),McMinnville,OR,US,503-687-3899,teamhemp@hemptopia.com,,Eric Kleffner,2005,<25,,,,,,Cordage,Tow
,,,8/11/22,,,Hempz,Processing & Manufacturing,Materials processors,Products,Oil,Personal Care,,,,,"Hemp seed oil is the key ingredient in each of our products, delivering supple, nourished skin and healthy-looking hair.",private,,"44,325,611",https://hempz.com/,,TX,US,(972) 763-4343,www.hempz.com,,Mark Chester,1998,26,,,,,,,Oil
,,,8/11/22,,,HKliving,Processing & Manufacturing,Retail,Products,Bast Fiber,Carpeting,,,,,HKliving is a Dutch interior brand founded by Emiel Hetsen and Sander Klaver. The initials of both their last names have been used to create the brand name HKliving. ,Private ,,"541,541,410",https://hklivingusa.com/,Crystal River,FL,US,352 212 3524,https://www.hkliving.nl/,,Emiel Hetsen ,2009,30,,,,,,Carpeting,Bast Fiber
,,,8/11/22,,Y,Homestead House,NA,,,Hurds,Chemical feedstock: Sealants,,,,,,,,,,,,,,,,,,,,,,,,Sealants,Hurds
,,,8/11/22,,,Horn Creek Hemp,Farming & Allied Services,Farm service suppliers,Manufacturer,Post-Extract,,,,,,"Horn Creek Hemp is a sustainable and biodynamic family run farm. We specialize in biodynamic CBD cultivars for air dried flower, extraction, and herbal blends.",private ,,,https://www.horncreekhemp.com/,Jacksonville,OR,US,877-541-4367,customercare@horncreekhemp.com,,Paul Murdoch,,17,,,,,,,Post-Extract
,,,8/11/22,,Y,International Paper,NA,,,Secondary,Paper,,,,,,,,,(https://www.internationalpaper.com/home),Memphis,TN,,,,,,,,,,,,,Paper,Secondary
,,,8/11/22,,,Joy Organics,Product Development Company,Retail,Products,Extracting,Pharmaceutical,,,,,"Joy Organics was created with a clear initiative: to develop premium CBD products through innovation and excellence, with service to match.",private,,"4,542,421",https://joyorganics.com/,Austin,TX,US,(512) 992-0288,,,Joy Smith,2018,39,,,,,,Pharmaceutical,Extracting
,,,8/11/22,,,Kinderel,Processing & Manufacturing,Farm service suppliers,Products,Primary (line),Fabric,,,,,"Kinderel is a Greater Vancouver based company specializing in organic baby sleepwear, clothes and accessories.",private,,"451,45",(https://www.kinderel.com/),British Columbia,,Canada,778-323-2229,info@kinderel.com,,Liana Daniela Arsene,2008,<25,,,,,,Fabric,Primary (line)
,,,8/11/22,,,King of Hemp,Distribution,Retail,Products,Essential Compounds,,,,,,King of Hemp ® Pre-Roll covered with high CBD distillate and hemp kief for great flavor and a potent sense of relaxation and calmness.,private,,"33,339,999",(https://kingofhempusa.com/),Las Vegas,NV,US,877-436-7564,info@kingofhemp.com.,,Bruce Perlowin,,,Hemp Inc.,,,,,,Essential Compounds
,,,8/5/22,,,Medterra,Processing & Manufacturing,Product Manufacturers,Manufacturer,Essential Compounds,Food,Personal Care,Nutraceuticals,Livestock Feed,,Medterra is a company that offers CBD-based products. It holds U.S. Hemp Authority certification and is part of Kentucky's Industrial Hemp Research Pilot Program.,Private,.,"424,214,242",(https://medterrahemp.org/),Irvine,CA,USA,800-971-1288,support@medterrahemp.org,,Jay Hartenbach,2017,46,Acreage Holdings,yes,"Vape,Concentrate live resin, hemp flower",,"Acreage Holdings is A company that has multiple subsidiaries, All business they are involved in is related to hemp.",,Essential Compounds
,,,8/5/22,,,Nutiva,Processing & Manufacturing,Product Manufacturers,Manufacturer,Post-Extract,Plant-based Protein,Food,Personal Care,,,"Nutiva is a plant-based food company making plant-based, organic, and non-GMO baking, culinary oils, snacks, spreads, supplements, and personal care products that is headquartered in Richmond, California and was founded in 1999 by John Roulac. Structured Data.",Private,,"44,311,225",(https://www.nutiva.com/),Richmond,CA,USA,800-993-4367,,,John W. Roulac,1999,115,N/A,yes,,692752200014,,Plant-based Protein,Post-Extract
,,,8/5/22,,,Nuts.com,NA,Product Manufacturers,NA,NA,Food,,,,,"Nuts.com is exactly what it sounds like: an online retailer of every kind of nut, from peanuts, pistachios, pecans and pine nuts, to cashews, almonds and filberts, in salted, unsalted and organic varieties",Private,,"44,45",https://www.nuts.com/,Cranford,NJ,USA,800-558-6887,care@nuts.com,,Jeffrey,1929,156,N/A,yes,,N/A,,,Shell
,,,8/5/22,,,O Natural,Processing & Manufacturing,,,Oil,Personal care,,,,,,,,,https://www.onaturals.com/,Los Angeles,CA,,#ERROR!,onaturals@onaturals.com,,,,,N/A,yes,,N/A,,Personal care,Oil
,,,8/5/22,,,OG Containers,Processing & Manufacturing,Product Manufacturers,Products,Hurds,Bagging,,,,,Company that produce containers that are bio-sourced,Private,,332439,(https://www.ogcontainers.com/),Newberg,OR,USA,844-444-0420,Info@ogcontainers.com,,,,,,yes,,N/A,,Plastics,Hurds
,,,8/5/22,,,Old Dominon Hemp,Processing & Manufacturing,Product Manufacturers,Agricultural Production,Tow,Absorbent bedding,,,,,"Old Dominion Hemp is a Virginia-based distributor of high-quality hemp bedding for horses, chickens and pets.",Private,,"321,913,219",https://www.odhemp.com/,Waynesboro,VA,USA,(434)987-0177,sales@odhemp.com,,Marty Phipps,2015,4,N/A,yes,,N/A,,Absorbent bedding,Hurds
,,,8/5/22,,,Oregon CBD Hemp,Farming & Allied Services,Farmers in hub cohorts,Agricultural Production,Essential Compounds,NA,,,,,"Here at Oregon CBD Hemp, we believe that to get a great CBD product, you must first start with the best quality genetics. All of our CBD & CBG genetics are feminized, some are seedless, and they have all been developed using the latest in research and development.",Private,,"11,111,998",(https://oregoncbdhemp.com/),Central Point,OR,USA,541-840-7008,oregoncbdhemp@gmail.com,,Not available,,,N/A,yes,,N/A,,,Essential Compounds
,,,8/5/22,,,Oregon Hemp House,Processing & Manufacturing,Retail,Markets,Post-extract,Food,Livestock Feed,Nutraceuticals,Personal Care,,"Oregon Hemp House is a lifestyle and wellness boutique offering quality, lab-tested Hemp-Derived CBD products. ",Private,,"424,424,910",(https://www.oregonhemphouse.com/),Portland,OR,USA,971-808-9091,contact@oregonhemphouse.com,,Seth Crawford,2016,~4,N/A,yes,,N/A,This company is CBD Certified,,Essential Compounds
,,,8/5/22,,,Oregon Tilth,Farming & Allied Services,Extension and private consultants,NA,,,,,,,"Oregon Tilth, Inc is a nonprofit organization that supports and promotes biologically sound and socially equitable agriculture through education, research, advocacy and product certification",Private,,"8,134,813,410",(https://tilth.org/),Corvallis,OR,USA,503-378-0690,organic@tilth.org,,Roger Kubalek,1973,69,N/A,yes,,N/A,,,
,,,8/5/22,,,Oriya Organics,Processing & Manufacturing,Product Manufacturers,Manufacturer,Essential Compounds,Supplement,Plant-based Protein,,,,"Oriya Organics' 100% Plant Protein is exactly that – five bio-available plant proteins: organic sprouted rice protein, organic hemp seed protein, organic sprouted chia seeds and two nutritionally dense greens - organic spirulina and organic chlorella – and nothing else",Private,,"44,446,191",https://oriyaorganics.com/,,TX,USA,(512) 992-5100,info@oriyaorganics.com,,Jonathon Larson,2012,Not available,N/A,yes,,23031802,,Supplement,Post Extract
,,,8/5/22,,,Phase 2 Extraction,Processing & Manufacturing,Product Manufacturers,Handling/Processing,Oil,NA,,,,,"Phase 2 Extraction is a complex CBD extraction company with a simple philosophy: We win when you win. Buying high-quality CBD oil should not be a difficult process with endless paperwork, negotiation, and red tape.",Private,,"454310,45",(https://www.phase2extraction.com/),Prineville,OR,USA,971-337-3199,Not Available,,Brett Stokes,2018,6,N/A,yes,,N/A,,,Post-Extract
,,,8/5/22,,,PotLuck Expo,Processing & Manufacturing,Product Manufacturers,Manufacturer,Post-extract,Chemicals,Personal Care,Livestock Feed,,,A company that sells different Hemp extract products,Private,,"32,541,432,541",https://potluckexpo.com/,San Diego,CA,USA,(858) 333-7327,Not Available,,Jonny Owl,2017,6,N/A,yes,,N/A,,Adhensive,Oil
,,,8/5/22,,,Printed on Hemp,Processing & Manufacturing,Product Manufacturers,Manufacturer,Secondary,Paper,,,,,"A company that is making paper out of 50% hemp fiber, 50% recycled content.",Private,,111998,(https://printedonhemp.com),Eugene,OR,USA,N/A,Not Available,,Matthew Glyer,2012,11~50,midwest hemp coalition,yes,,N/A,,Paper,Secondary
,,,8/5/22,,,Procana,Processing & Manufacturing,Product Manufacturers,Manufacturer,Post-extract,Nutraceutical,Vape,,,,Procana is a leading manufacturer of Hemp/CBD supplements and lifestyle products.,Private,,"621,513,254",https://procana.com/,Beverly Hills,CA,USA,844-776-2262,Not Available,,Chris Lombardi,2013,11~51,N/A,yes,,N/A,,Nutraceutical,Extracting
,,,8/7/22,,,Pulp Mills,NA,NA,NA,,,,,,,,Private,,,(https://www.manta.com/mb_44_E026Y_38/pulp_mills/oregon),,,,,,,,,,,no,,N/A,,,
,,,8/7/22,,,Pure Hemp Technologies,Processing & Manufacturing,Materials processors,Handling/Processing,Post-extract,Mortar,Pulp,Food,,,PureHemp Technology LLC (“PureHemp”) is a vertically integrated industrial hemp manufacturing company. The PureVision subsidiary is devoted to processing industrial hemp into intermediates to make a myriad of hemp-based products.,Private,,"3,221,103,221",(https://purehemptech.com/),Fort Lupton,CO,USA,303-857-4530,info@purehemptech.com,,Ed Lehrburger,2014,33,N/A,yes,,N/A,,,
,,,8/7/22,,,Real Milk Paint Co.,Processing & Manufacturing,Product Manufacturers,Manufacturer,Hurds,Paints,,,,,"Real Milk Paint Co™, founded in 1995, is your source for milk paint that is organic and non toxic paint.",Private,,"42,442,495",(https://www.realmilkpaint.com/),Hohenwald,TN,USA,800-339-9748,hello@realmilkpaint.com,,Dwayne,1995,6,N/A,yes,,N/A,,Paints,Hurds
,,,8/7/22,,,Receptor Life Sciences,Processing & Manufacturing,Product Manufacturers,Manufacturer,Essential Compounds,Pharmaceutical,Personal Care,Livestock Feed,,,Receptor Life Sciences is a pharmaceutical company that applies FDA-approved drug delivery technologies to develop innovative therapies to address central nervous system disorders that have few safe and effective treatments,Public,,"3,254,541",(https://www.receptorlife.com/),Seattle,WA,USA,(206) 483-2730,info@receptorlife.com,,Mark Theeuwes,2015,<10,Granite Point Capital ,yes,,N/A,,Pharmaceutical,Essential Compounds
,Dr. Karl Haapala,,8/7/22,,,Red Barn Hemp,Farming & Allied Services,Farmers in hub cohorts,Agricultural Production,Oil,Nutraceutical,,,,,Family farm selling CBD product,Private,,"11,111,998",(https://redbarnhemp.com/),Woodburn,OR,USA,503-634-2580,Not Available,,Todd Theiss,1950,2,N/A,yes,,N/A,,Nutraceutical,Essential Compounds
,,,8/7/22,,,Resonance Farm's,Processing & Manufacturing,Product Manufacturers,Products,Oil,Nutraceuticals,Livestock Feed,,,,"Resonance Farm is your top source for premium quality CBD in Springfield, OR, and beyond. We are an organic hemp company locally owned and operated in Oregon with a wide range of high-quality hemp products.",Private,,333111,(https://resonancefarm.com/),Eugene,OR,USA,458-207-0536,Not Available,,Gretl Gauthier,2016,N/A,N/A,yes,,N/A,,,Oil
,,,8/7/22,,,Sisal Rugs Direct,Processing & Manufacturing,Product Manufacturers,Manufacturer,Bast Fiber,Carpeting,,,,,"Our sisal rugs are not only durable, but they are naturally insulating, sound-absorbent, flame resistant, and anti-static.",Private,,"31,411,314",https://www.sisalrugs.com/,,OR,USA,(888) 613-1335,sales@sisalrugs.com.,,Myles Felsing,1995,6,N/A,yes,,N/A,,Carpeting,Bast Fiber
,,,8/7/22,,,Soil Salvation,CLosed,,,Hurds,,,,,,company that make use of local waste materials to create the highest quality organic soil amendments possible,Private,,,(https://www.soilsalvation.com/),Ashland,OR,USA,541-851-1333,,,Dave Munson,2016,,N/A,no,,N/A,,,Hurds
,,,8/7/22,,,Supreme Aromas,Processing & Manufacturing,Product Manufacturers,Manufacturer,Post-extract,Personal Care,,,,,"This company is a fun and colorful bath & body care line that are known for products that not only look good but smell AMAZING! Our hemp infused products are made with skin beneficial ingredients like essential oils, avocado oils, sweet almond oil and Vitamin E and other all natural ingredients.",Private,,333924,(https://www.supremearomas.com/),,CA,USA,N/A,N/A,,John Pham,N/A,N/A,N/A,yes,,N/A,,,Essential Compounds
,,,8/7/22,,,Sweet Skins Hemp Fashion,Processing & Manufacturing,Product Manufacturers,Manufacturer,Primary (line),Fabric,,,,,A clothing company that made clothes out of hemp.,Private,,"444,481",(https://sweetskins.com),Eugene,OR,USA,541-393-6925,N/A,,Mira Fannin,2004,N/A,N/A,yes,,N/A,,Fabric,Primary (line)
,,,8/7/22,,,The Futon Shop,Processing & Manufacturing,Product Manufacturers,Manufacturer,Hurds,Absorbent bedding,,,,,Bedding company using hemp as one of their material to produce products.,Private,,442110,https://www.thefutonshop.com/,San Francisco,CA,USA,415-920-6800,Customerservice@thefutonshop.com,,Suzanne Diamond,1976,100-200,N/A,yes,,N/A,,Absorbent bedding,Hurds
,,,8/7/22,,,The Hemp Plastic Company,Processing & Manufacturing,Materials processors,Handling/Processing,Hurds,Plastics,,,,,Company that design and manufacture custom hemp biocomposites and bioplastics,Private,,"42,461,424",(https://hempplastic.com/),Boulder,CO,USA,#ERROR!,info@hempplastic.com,,Glenn Kayll,2018,1-10,N/A,yes,,N/A,,Plastics,Hurds
,,,8/7/22,,,TransMineral,Processing & Manufacturing,Product Manufacturers,Manufacturer,Hurds,Mortar,Paint,Adhesive,,,"Saint Astier® Natural Hydraulic Lime and derivative products have been produced by the same families in Saint Astier, France since 1851. The characteristics of the raw materials as well as the manufacturing process assure the user of a product that is both high in quality and performance. In historical preservation and restoration, the consistency of the product, as well as the type of product, is extremely important to ensure compatibility with the existing structure and materials. In new build construction, Saint Astier® Natural Hydraulic Limes have developed a broad range of mortars and binders for the modern day requirements of today’s builders. Natural Hydraulic Lime competes with, and outperforms, comparable products in strength, elasticity, plasticity, and more. The ecological benefits of lime mortars such as CO2 re-absorption and condensation control are also crucial to a long-lasting and sound structure.",Private,,"333,365",https://limes.us/,Petaluma,CA,USA,707-769-0661,N/A,,Michel Couvreux,1997,N/A,N/A,yes,,N/A,,Mortar,Hurds
,,,8/7/22,,,Vermont Natural Coatings,Processing & Manufacturing,Product Manufacturers,Manufacturer,Hurds,Adhesive,Paint,floor,,,Vermont Natural Coatings and Böhme's Exterior Aging Stain is a premium exterior wood treatment that provides an instant aged appearance while protecting and stabilizing the wood structure. For use on new or bare exterior wood. Provides a natural looking aged gray finish. Evens out differences in wood tone.,Private,,"32,551,325",(https://vermontnaturalcoatings.com/),Hardwick,VT,USA,802-472-8700,info@vermontnaturalcoatings.com,,Andrew Meyer,2004,27,N/A,yes,,ACHR141252,,Sealants,Hurds
,,,8/7/22,,,Whole Circle Farms,Processing & Manufacturing,Farmers in hub cohorts,Agricultural Production,Essential Compounds,Personal Care,Fabric,Pharmaceutical,,,The farm that grows hemp and produces the hemp-made product.,Private,,"11,111,998",(https://www.wholecirclefarms.com),Silverton,OR,USA,503-873-7976,N/A,,Peter Koch,N/A,50,N/A,yes,,N/A,,,Essential Compounds
,,,8/7/22,,,Wilderness Poets,Processing & Manufacturing,Product Manufacturers,Manufacturer,Post-Extract,Plant-based Protein,Food,,,,Company that makes Nut Butters + Superfood(contains hemp),Private,,445292,(https://wildernesspoets.com/collections/hemp-seeds-and-protein),Ashland,OR,USA,844-945-3649,info@wildernesspoets.com,,John Bannerman,2006,N/A,"iherb,Faire",yes,,N/A,,Plant-based Protein,Post-Extract
,,,8/7/22,,,Willametter Falls Paper Co.,Processing & Manufacturing,Product Manufacturers,Manufacturer,Secondary,Paper,,,,,"WILLAMETTE FALLS PAPER COMPANY, INC. is a newly formed company which owns and operates the machinery and equipment at the paper mill in West Linn, Oregon. The company is a non-integrated mill, capable of making coated and uncoated grades with an annual capacity of 260,000 tons.",Private,,"32,212,322,121",(https://www.wfpaperco.com/about/),West Linn,OR,USA,833-966-1239,customerservice@wfpaperco.com,,brian konen,1889,51-200,N/A,yes,,N/A,,Paper,Secondary
,,,8/7/22,,,Hemp Flax,Processing & Manufacturing,Materials processors,Handling/Processing,Essential Compounds,Nutraceuticals,,,,,"HempFlax was founded in 1993 by Ben Dronkers with the aim of restoring the age-old crop to its former glory. With succes: nowadays there is a huge demand for high-quality professional hemp products. The synergy between the various branches creates a sustainable and innovative business environment in which HempFlax can become the market leader in the field of industrial hemp production.

Our cultivation takes place in the Netherlands, Germany and Romania with our factories located in Oude Pekela, Netherlands and Alba Iulia, Romania.",Private,,313110,(https://www.hempflax.com/en/),, Oude Pekela,Netherlands,49 9081 805 000,N/A,,Ben Dronkers,1993,11-50,N/A,yes,,N/A,,Nutraceutical,Essential Compounds
